Equipo;Grupo
República Checa;A
México;A
Sudáfrica;A
Corea del Sur;A
Suiza;B
Bosnia-Herzegovina;B
Canadá;B
Catar;B
Escocia;C
Brasil;C
Haití;C
Marruecos;C
Turquía;D
Paraguay;D
EE. UU.;D
Australia;D
Alemania;E
Ecuador;E
Costa de Marfil;E
Curazao;E
Suecia;F
Países Bajos;F
Túnez;F
Japón;F
Bélgica;G
Egipto;G
Irán;G
Nueva Zelanda;G
España;H
Uruguay;H
Cabo Verde;H
Arabia Saudí;H
Francia;I
Noruega;I
Senegal;I
Irak;I
Austria;J
Argentina;J
Argelia;J
Jordania;J
Portugal;K
Colombia;K
RD Congo;K
Uzbekistán;K
Croacia;L
Inglaterra;L
Ghana;L
Panamá;L