Equipo,Puntos,Peso,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Puntos_total,avg_Peso_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Ptos_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Goles_esperados_(xG)_5,avg_Posesión_5,avg_Remates_a_puerta_5,avg_Córneres_5,avg_Tarjetas_amarillas_5,avg_Faltas_5,avg_Paradas_5,avg_Puntos_5,avg_Peso_5,avg_Pases_Pct_5,avg_Pases_Exitosos_5,avg_Ptos_5,avg_xG_Share_5,avg_Remates_Puerta_Share_5,avg_Corneres_Share_5,avg_Paradas_Share_5,avg_Pases_Exitosos_Share_5,avg_Goles_Share_5,avg_Puntos_Share_5
Sudáfrica,1429.73,0.6,Visitante,2026-06-11,2,1.4943103448275863,0.5986206896551723,4.793103448275862,5.103448275862069,1.8310344827586207,11.417241379310346,1.4724137931034484,1404.493448275862,0.6,0.8496896551724139,431.8413793103448,1.8275862068965518,0.6296426754843838,0.6821739563118874,0.667594665870528,0.34154681690353506,0.6211918700349134,0.6275862068965516,0.5348594331486,1.5900000000000003,0.6719999999999999,5.2,4.2,2.0,11.2,1.4,1429.7419999999997,0.6,0.8720000000000001,468.4,1.0,0.6508363533190991,0.65,0.6714285714285715,0.30333333333333334,0.7069604510990299,0.4533333333333333,0.5165858457661662
México,1681.03,0.75,Local,2026-06-11,2,1.6344166666666666,0.5855555555555555,5.416666666666667,5.694444444444445,2.1305555555555555,14.166666666666666,1.8888888888888888,1646.7727777777777,0.75,0.8477777777777777,423.19444444444446,2.0833333333333335,0.7064413377707986,0.6737566219183866,0.6365451677951678,0.3172750474833808,0.6095147921865033,0.6879629629629629,0.5362934881443351,1.6800000000000002,0.502,5.0,4.8,2.0,12.6,2.4,1676.806,0.75,0.85,399.0,2.2,0.6541573313643262,0.568018648018648,0.53,0.47111111111111115,0.4959921631202734,0.8,0.5294234392222714
República Checa,1501.38,1.0,Visitante,2026-06-12,2,1.632952380952381,0.5040476190476191,4.976190476190476,5.714285714285714,1.919047619047619,13.404761904761905,2.2142857142857144,1485.6966666666667,1.0,0.7880952380952382,355.8809523809524,1.5238095238095237,0.5878379662539954,0.5756179997251426,0.6076608246251103,0.4143729286586429,0.5078174503226502,0.5547619047619048,0.5164990640733516,1.8539999999999999,0.518,4.0,7.4,0.6,16.8,2.0,1491.852,1.0,0.756,360.8,1.2,0.6337036030108767,0.5166666666666666,0.6577972027972028,0.5761904761904761,0.5187481866305454,0.5666666666666667,0.5352039491345628
Corea del Sur,1588.66,0.7,Local,2026-06-12,2,1.8614146341463413,0.6673170731707317,5.780487804878049,7.463414634146342,1.2975609756097561,11.512195121951219,1.4146341463414633,1536.6307317073172,0.7,0.8152682926829269,517.1951219512196,1.975609756097561,0.7238011692098533,0.7175588639003273,0.7181171251831223,0.26525710062295427,0.6746666114687881,0.6695121951219511,0.5395220675301453,1.6420000000000001,0.642,4.4,9.4,1.52,10.6,1.6,1586.842,0.7,0.8640000000000001,509.2,1.4,0.7051918252968526,0.6288888888888888,0.7473310023310022,0.29047619047619044,0.6602482133144678,0.5,0.5326080285509353
Canadá,1556.48,0.75,Local,2026-06-12,2,1.4475142857142858,0.5131428571428571,4.371428571428571,6.0,2.0428571428571427,14.454285714285714,2.4,1454.6882857142857,0.75,0.8082857142857143,337.9171428571429,1.6857142857142857,0.5859527761263288,0.5643054564483135,0.5889017285235773,0.43487528344671206,0.5199522429422843,0.6047619047619048,0.5023893792121125,1.56,0.588,4.8,10.0,2.0,12.6,1.4,1548.122,0.75,0.8219999999999998,344.2,1.8,0.7785425911894219,0.695,0.8220311714429362,0.2785714285714286,0.6035627038753615,0.7,0.5415982171306594
Bosnia-Herzegovina,1385.84,1.0,Visitante,2026-06-12,2,1.2888095238095238,0.48738095238095236,4.166666666666667,4.809523809523809,2.407142857142857,13.047619047619047,1.8738095238095238,1372.7780952380951,1.0,0.8064285714285714,361.7142857142857,1.1666666666666667,0.5016481318588597,0.5240536249464821,0.5370720549291977,0.449268192125335,0.49594207971880266,0.4631519274376417,0.49814970414381754,1.443,0.516,5.0,4.2,2.8,14.6,1.94,1358.6599999999999,1.0,0.8119999999999999,432.2,1.4,0.5715863329464509,0.5797619047619047,0.5528571428571428,0.5304761904761905,0.5230678627106531,0.55,0.4703232942416918
Paraguay,1503.5,0.95,Visitante,2026-06-13,2,0.8232916666666666,0.41875,3.1666666666666665,3.9583333333333335,2.629166666666667,14.416666666666666,2.5458333333333334,1467.41375,0.95,0.6725,227.25,0.9583333333333334,0.4205405382255021,0.4295276482776483,0.4626734240704829,0.5055465367965368,0.3970802440946191,0.37986111111111115,0.4809006990972023,0.6460000000000001,0.39,3.8,4.4,2.2,13.0,2.2199999999999998,1490.462,0.95,0.744,253.2,1.4,0.408494485202292,0.5422727272727272,0.5386446886446887,0.4454545454545455,0.34627397784950453,0.5666666666666667,0.4813631029650569
Suiza,1649.4,1.0,Visitante,2026-06-13,2,1.5323617021276597,0.5659574468085107,4.574468085106383,5.51063829787234,1.9553191489361703,11.340425531914894,2.3191489361702127,1632.8321276595746,1.0,0.8634042553191489,480.29787234042556,1.6170212765957446,0.6019330796989859,0.5878181511160234,0.5723626989460926,0.44927389395474504,0.5973772881554331,0.583080040526849,0.5267163642530774,0.9179999999999999,0.558,3.4,2.2,0.9199999999999999,8.2,2.4,1652.864,1.0,0.876,480.4,1.2,0.542167694703001,0.5757142857142857,0.34523809523809523,0.55,0.5676346670061299,0.5457142857142857,0.5245747929372329
Catar,1454.96,0.7,Local,2026-06-13,2,1.5141290322580645,0.5641935483870967,4.612903225806452,4.935483870967742,1.974193548387097,11.03225806451613,2.3548387096774195,1448.6764516129033,0.7,0.7616129032258064,357.0,1.8709677419354838,0.5816034525987449,0.5351746977458552,0.5433750836976644,0.5214797747055813,0.571259246537816,0.5818996415770609,0.5268219909229697,0.6140000000000001,0.4999999999999999,1.8,2.6,2.84,11.8,2.8,1455.084,0.7,0.8400000000000001,363.6,1.4,0.4408631416109022,0.36904761904761907,0.3980952380952381,0.67,0.4986619434441784,0.4333333333333333,0.5028758374270887
EE. UU.,1673.13,0.75,Local,2026-06-13,2,1.4256363636363636,0.5590909090909091,4.606060606060606,4.848484848484849,1.5787878787878789,12.303030303030303,2.3636363636363638,1624.5015151515152,0.75,0.8345454545454545,395.1515151515151,1.5757575757575757,0.61548787503195,0.5650415637046654,0.5783667510940238,0.4624874283965193,0.5735541090518249,0.5556277056277056,0.5262925361665924,1.266,0.484,4.4,3.8,1.8,12.8,3.8,1662.038,0.75,0.8320000000000001,344.8,0.8,0.46659968467240825,0.42716450216450214,0.35363636363636364,0.5305555555555556,0.48386575249547237,0.3571428571428571,0.5183198985835649
Haití,1291.71,0.75,Local,2026-06-14,2,1.1166666666666667,0.49,4.416666666666667,5.0,2.1999999999999997,13.883333333333333,3.4250000000000003,1278.8775,0.75,0.8018333333333333,300.325,1.3333333333333333,0.5099285940425377,0.5356589073694337,0.5335722148222148,0.5012582268679829,0.49223282309527,0.5277777777777778,0.4895077410967745,1.002,0.49800000000000005,3.0,2.8,2.4,16.22,3.4200000000000004,1278.972,0.75,0.8098000000000001,320.43999999999994,1.4,0.5212362892674463,0.4654978354978355,0.4951587301587302,0.591829268292683,0.49998543135749224,0.5,0.48608980568404564
Países Bajos,1757.87,1.0,Local,2026-06-14,2,1.9095818181818183,0.5872727272727272,5.818181818181818,5.945454545454545,1.4254545454545455,11.781818181818181,2.109090909090909,1708.9767272727272,1.0,0.8827272727272727,513.9454545454546,2.0727272727272728,0.6328963566389976,0.6308628240446421,0.6260852753900883,0.40839105339105336,0.6209534107038194,0.7082683982683983,0.5435451085127011,1.736,0.5479999999999999,4.6,6.0,0.2,9.8,2.2,1757.3259999999998,1.0,0.8539999999999999,449.6,2.2,0.5501238600258376,0.5789682539682539,0.622948717948718,0.4766666666666667,0.5529820730661521,0.7333333333333334,0.5559641881369919
Alemania,1730.37,1.0,Local,2026-06-14,2,2.351404761904762,0.6504761904761904,6.833333333333333,6.285714285714286,1.7785714285714287,10.714285714285714,2.0952380952380953,1664.8088095238095,1.0,0.8926190476190476,604.452380952381,2.0952380952380953,0.6988458279731178,0.67967858860716,0.6525318246956903,0.3187445491016919,0.6983681402521962,0.6905328798185941,0.5288436017069804,2.4639999999999995,0.654,6.8,7.2,1.44,11.0,1.2,1715.834,1.0,0.892,579.4,3.0,0.7782234559311723,0.7430952380952381,0.695027195027195,0.25,0.6856519171930178,0.8476190476190476,0.5491105754661774
Curazao,1294.65,0.75,Visitante,2026-06-14,2,1.2181000000000002,0.537,4.9,4.2,1.9,13.6,2.5,1281.066,0.75,0.783,318.37,1.5,0.5390261553858824,0.5613224275724276,0.49471528471528475,0.4525396825396825,0.5519422001230668,0.5933333333333334,0.509375361521892,1.7240000000000002,0.528,7.0,4.8,1.6,12.6,2.8,1286.62,0.75,0.77,295.8,2.2,0.5376172736117004,0.6093115218115218,0.46657342657342654,0.4455555555555555,0.5396434775463901,0.72,0.5223985549784398
Escocia,1498.35,1.0,Visitante,2026-06-14,2,1.2185,0.48772727272727273,3.909090909090909,4.954545454545454,1.8227272727272728,11.090909090909092,2.8181818181818183,1473.7920454545454,1.0,0.8272727272727273,386.3636363636364,1.75,0.4959584609674982,0.49610648190193646,0.557421529747733,0.5578192640692641,0.48309759892031345,0.5992424242424242,0.5057956492828409,1.432,0.458,4.8,5.4,1.1199999999999999,11.0,3.8,1501.404,1.0,0.8300000000000001,362.2,1.2,0.41888423436471306,0.5076190476190476,0.4295537795537795,0.59,0.4430607702916266,0.3466666666666667,0.5012945786509
Japón,1660.43,0.7,Visitante,2026-06-14,2,1.9683499999999998,0.61175,6.325,6.225,1.165,12.9375,1.5,1583.5994999999998,0.7,0.80375,464.9575,2.35,0.7409640684271263,0.7282205988455989,0.7322286741036741,0.30066468253968254,0.628124705972499,0.7554166666666667,0.5457842063470675,1.642,0.606,4.4,6.8,1.6600000000000001,11.6,1.6,1651.6620000000003,0.7,0.876,517.4,2.0,0.7336975823691966,0.6566666666666666,0.7398989898989898,0.35000000000000003,0.6343112011673149,0.7,0.5286000199086812
Marruecos,1755.87,0.6,Visitante,2026-06-14,2,1.7446052631578948,0.5563157894736842,5.026315789473684,4.631578947368421,1.368421052631579,13.965789473684211,1.631578947368421,1629.1057894736841,0.6,0.8681578947368421,440.4552631578947,2.4473684210526314,0.7026206038075369,0.7207315345473241,0.6081452517211031,0.3566520467836257,0.5669186819599263,0.8087719298245615,0.551344439461557,1.3880000000000001,0.51,3.8,5.0,1.6,17.2,2.8,1722.5,0.6,0.8220000000000001,380.0,1.6,0.7033699628860985,0.6321212121212121,0.5883838383838385,0.37,0.509045742692268,0.6333333333333333,0.5287449779187958
Turquía,1599.04,1.0,Visitante,2026-06-14,2,1.8705217391304347,0.5619565217391305,5.891304347826087,5.586956521739131,2.760869565217391,10.934782608695652,2.369565217391304,1505.3084782608696,1.0,0.8482608695652175,431.30434782608694,2.0869565217391304,0.6198066714285444,0.6308191379558656,0.5819584702736876,0.4063966830271178,0.5965178310880659,0.6648550724637682,0.5241377684991815,1.764,0.528,4.8,6.0,3.2,10.0,2.4,1572.292,1.0,0.834,390.2,2.6,0.6477352769080688,0.6908333333333333,0.5243589743589744,0.4329004329004329,0.5461867688246596,0.86,0.5212278581735814
Brasil,1761.16,0.95,Local,2026-06-14,2,1.8811379310344827,0.5689655172413793,6.0344827586206895,4.896551724137931,2.037931034482759,12.724137931034482,2.413793103448276,1784.9879310344827,0.95,0.8141379310344827,428.55172413793105,2.1379310344827585,0.6585116511721,0.6861649365959711,0.5600612031646515,0.34326391998805794,0.5803770478631065,0.7206896551724138,0.5364533379478776,2.1719999999999997,0.572,5.0,5.2,2.0,11.6,2.6,1770.466,0.95,0.882,434.6,1.8,0.6701194769888563,0.6604395604395604,0.6031746031746031,0.31666666666666665,0.5903860635259327,0.6166666666666666,0.5328378589935293
Australia,1580.67,0.7,Local,2026-06-14,2,1.5667073170731707,0.531219512195122,4.512195121951219,5.0,1.5365853658536586,10.829268292682928,2.048780487804878,1510.3209756097563,0.7,0.7599024390243903,382.8414634146341,2.073170731707317,0.629582827517733,0.6165663604687995,0.6346403934818569,0.4717347692957449,0.5297923083232043,0.7162601626016261,0.5367188892502136,1.1751999999999998,0.42200000000000004,3.8,4.0,1.3199999999999998,8.6,2.2,1550.034,0.7,0.79,310.2,2.6,0.48834589598502437,0.5915584415584416,0.43555555555555553,0.62,0.4098140531665632,0.8,0.5350612092345266
Egipto,1563.24,0.6,Visitante,2026-06-15,2,1.4464117647058825,0.5302941176470588,4.852941176470588,4.235294117647059,1.8617647058823528,12.655882352941177,2.114705882352941,1503.594705882353,0.6,0.8342941176470589,413.9852941176471,2.235294117647059,0.6419538871468953,0.6511340783399606,0.48758313485822136,0.404584712672948,0.546822694235054,0.7529411764705882,0.5443019014745403,0.58,0.44400000000000006,3.0,1.8,1.4,12.2,2.8,1543.604,0.6,0.8240000000000001,340.0,1.6,0.47115959587380446,0.4685714285714286,0.2261471861471862,0.5314285714285715,0.4336711346367611,0.6,0.4927291163212223
Túnez,1483.05,0.6,Visitante,2026-06-15,2,1.51775,0.549375,4.28125,5.375,1.78125,15.246875,1.921875,1492.954375,0.6,0.8345312500000001,407.459375,2.03125,0.6252865273795666,0.6261093073593074,0.574607683982684,0.41921209202257337,0.5599411311693415,0.6927083333333334,0.5460014387228347,0.8232000000000002,0.534,2.6,4.6,2.2,17.259999999999998,2.1,1489.894,0.6,0.8248,365.5,1.2,0.4611009932516688,0.4871428571428571,0.44666666666666666,0.5445993031358884,0.5471480872195713,0.58,0.5170605398719923
Ecuador,1594.78,0.95,Visitante,2026-06-15,2,1.1658571428571427,0.5171428571428571,3.4642857142857144,4.357142857142857,1.9214285714285713,14.214285714285714,2.3214285714285716,1478.142142857143,0.95,0.7567857142857143,306.67857142857144,1.3214285714285714,0.5482928618212212,0.5671343537414966,0.5383754142682714,0.43822278911564627,0.5178354804724787,0.5535714285714286,0.4815231471301043,0.96,0.54,2.6,2.8,1.8,13.4,2.2,1578.554,0.95,0.858,386.0,1.4,0.5602749550925887,0.555,0.30190476190476195,0.475,0.5605577123186217,0.6,0.4871437769234803
